Lien_index,Marque,Modèle,Année,Kilométrage,Carburant,Transmission,Carrosserie,Couleur,Puissance fiscale,Nombre de portes,prix,ville,État du véhicule,Airbags,Navigation GPS,Ordinateur de bord,Limiteur de vitesse,Climatisation,Intérieur cuir,Radar de recul,Cylindrée
0,Skoda,Superb,2019.0,"107,000 km",Diesel,Automatique,,,,,198000.0,Casablanca,1,0,0,0,0,0,0,0,
1,Nissan,Qashqai,2013.0,"178,000 km",Diesel,Manuelle,SUV et 4x4,Noir,7.0,4.0,160000.0,,0,0,0,0,0,0,0,0,
2,Volkswagen,Golf 5,2007.0,"249,000 km",Diesel,Manuelle,Coupé,Bleu marine,8.0,5.0,81000.0,Casablanca,0,1,1,0,0,1,0,0,
3,Peugeot,2008,2014.0,"168,000 km",Diesel,Manuelle,,,6.0,,120000.0,Tanger,0,0,0,0,0,0,0,0,
4,Citroën,C5,2019.0,"129,000 km",Diesel,Automatique,,,8.0,3.0,200000.0,Casablanca,0,0,0,0,0,0,0,0,
5,Porsche,Macan,2022.0,"80,000 km",Essence,Automatique,,,,,,Casablanca,1,1,1,1,1,1,1,1,
6,Audi,A6,2022.0,"130,000 km",Diesel,Automatique,,Noir,10.0,5.0,450000.0,Casablanca,0,0,0,0,0,0,0,0,
7,Renault,Clio,2023.0,"94,000 km",Diesel,Manuelle,,Noir,6.0,5.0,140000.0,Marrakech,1,1,1,1,1,1,1,1,
8,Hyundai,Creta,2023.0,"50,000 km",Diesel,Automatique,Cabriolet,Blanc,6.0,5.0,260000.0,Casablanca,0,1,1,1,0,1,0,0,
9,BMW,Série 5,2025.0,"10,000 km",Diesel,Automatique,,,8.0,5.0,,Casablanca,1,1,1,1,1,1,1,1,
10,Lincoln,Navigator,2019.0,"140,000 km",Essence,Automatique,SUV et 4x4,Noir,20.0,5.0,850000.0,Rabat,0,1,1,1,1,1,1,1,
11,Peugeot,2008,2022.0,"80,000 km",Diesel,Automatique,,,7.0,5.0,,,1,1,1,1,1,1,0,1,
12,Seat,Ibiza,2016.0,"195,000 km",Diesel,Manuelle,,,,,98000.0,Casablanca,1,1,1,1,1,1,1,1,
13,Kia,Sportage,2020.0,"45,000 km",Diesel,Manuelle,,,,,,,1,1,1,1,1,1,0,1,
14,Kia,Niro,2024.0,"49,900 km",Hybride,Automatique,,Vert fonce,9.0,5.0,270000.0,Tétouan,0,1,0,0,1,1,0,1,
15,Renault,Clio,2021.0,"67,788 km",Diesel,Manuelle,,Gris,6.0,5.0,155000.0,Meknès,0,1,0,1,0,0,0,1,
16,BMW,Série 2,2024.0,0 km,Diesel,Automatique,,,,,,Casablanca,1,1,1,1,1,1,1,1,
17,Mercedes-Benz,Classe GLA,2016.0,"132,000 km",Diesel,Automatique,SUV et 4x4,Argent,6.0,5.0,225000.0,Casablanca,0,1,0,1,1,0,0,1,
18,Skoda,Fabia,2020.0,"68,000 km",Essence,Manuelle,,Blanc,6.0,4.0,122000.0,Kénitra,0,0,0,0,0,0,0,0,
19,Volkswagen,Tiguan,2020.0,"170,000 km",Diesel,Automatique,,,8.0,5.0,,Marrakech,1,1,1,1,1,1,1,1,
